KECAMATAN,KELURAHAN,TIPE HAK,NIB,LUAS,PENGGUNAAN
GADINGREJO,GENTONG,Hak Pakai,"00016",278.538,Kosong
GADINGREJO,GENTONG,Hak Pakai,"01891",38.747,Tanah Perumahan
GADINGREJO,GENTONG,Hak Pakai,"01950",123.805,Tanah Tidak Ada Bangunan
GADINGREJO,GENTONG,Hak Pakai,"02611",665.679,SARANA OLAH RAGA
GADINGREJO,GENTONG,Hak Pakai,"02630",2074.757,Tanah Non-Urban
GADINGREJO,GENTONG,Hak Pakai,"02629",912.69,Tanah Perumahan
GADINGREJO,RANDUSARI,Hak Pakai,"00094",1695.423,Kosong
GADINGREJO,RANDUSARI,Hak Pakai,"00424",9845.648,Kosong
GADINGREJO,RANDUSARI,Hak Pakai,"00436",347.168,Kosong
GADINGREJO,RANDUSARI,Hak Pakai,"00384",569.097,Kosong
GADINGREJO,RANDUSARI,Hak Pakai,"00099",1050.171,Kosong
GADINGREJO,RANDUSARI,Hak Pakai,"00666",491.775,RUMAH SAKIT
GADINGREJO,RANDUSARI,Hak Pakai,"00667",9916.558,Tanah Perusahaan
GADINGREJO,RANDUSARI,Hak Pakai,"00638",9808.086,Tanah Tidak Ada Bangunan
GADINGREJO,RANDUSARI,Hak Pakai,"00823",917.358,Tanah Tidak Ada Bangunan
GADINGREJO,RANDUSARI,Hak Pakai,"00814",2943.028,Tanah Tidak Ada Bangunan
GADINGREJO,RANDUSARI,Hak Pakai,"00813",5657.054,Tanah Tidak Ada Bangunan
GADINGREJO,BUKIR,Hak Pakai,"01443",945.221,Tanah Perumahan
GADINGREJO,BUKIR,Hak Pakai,"00201",3445.708,Kosong
GADINGREJO,BUKIR,Hak Pakai,"01432",793.822,Tanah Perumahan
GADINGREJO,BUKIR,Hak Pakai,"00784",574.214,Tanah Perumahan
GADINGREJO,BUKIR,Hak Pakai,"00783",411.194,Kosong
GADINGREJO,BUKIR,Hak Pakai,"00794",3604.484,Tanah Perumahan
GADINGREJO,BUKIR,Hak Pakai,"00520",1955.34,Lain-lain
GADINGREJO,BUKIR,Hak Pakai,"01470",1021.017,Tanah Tidak Ada Bangunan
GADINGREJO,BUKIR,Hak Pakai,"01471",4733.598,Tanah Tidak Ada Bangunan
GADINGREJO,BUKIR,Hak Pakai,"01128",31056.785,Tanah Perumahan
GADINGREJO,BUKIR,Hak Pakai,"01220",24784.633,Tanah Persawahan
GADINGREJO,BUKIR,Hak Pakai,"01418",125.01,Tanah Tidak Ada Bangunan
GADINGREJO,BUKIR,Hak Pakai,"01414",771.423,Tanah Tidak Ada Bangunan
GADINGREJO,BUKIR,Hak Pakai,"01358",45.95,Tanah Tidak Ada Bangunan
GADINGREJO,BUKIR,Hak Pakai,"01357",181.88,Tanah Perumahan
GADINGREJO,BUKIR,Hak Pakai,"01311",183.756,Tanah Perumahan
GADINGREJO,BUKIR,Hak Pakai,"01469",2744.221,Tanah Tidak Ada Bangunan
GADINGREJO,KRAPYAKREJO,Hak Pakai,"00442",17934.91,Kosong
GADINGREJO,KRAPYAKREJO,Hak Pakai,"03517",6755.532,Kosong
GADINGREJO,KRAPYAKREJO,Hak Pakai,"00388",3814.028,Kosong
GADINGREJO,KRAPYAKREJO,Hak Pakai,"00432",7820.817,Kosong
GADINGREJO,KRAPYAKREJO,Hak Pakai,"00440",626.371,Kosong
GADINGREJO,KRAPYAKREJO,Hak Pakai,"00441",18705.988,Kosong
GADINGREJO,KRAPYAKREJO,Hak Pakai,"03405",2277.422,Tanah Persawahan
GADINGREJO,KRAPYAKREJO,Hak Pakai,"03404",37422.396,Tanah Persawahan
GADINGREJO,KRAPYAKREJO,Hak Pakai,"03406",3479.891,Tanah Persawahan
GADINGREJO,KRAPYAKREJO,Hak Pakai,"03403",2269.279,Tanah Persawahan
